id,title,author,isbn,annual circs
106,"Ben and Jerry's, the inside scoop :","Lager, Fred.",9780517597163,1
107,Ben's teddy bear /,"Randell, Beverley.",9780435067489,1
108,Ben's teddy bear /,"Randell, Beverley.",9780435067489,1
109,Ben's treasure hunt /,"Randell, Beverley.",9780435067502,1
110,Ben's treasure hunt /,"Randell, Beverley.",9780435067502,1
111,Beneath the ghost moon /,"Yolen, Jane.",9780316968928,1
112,Bently and egg /,"Joyce, William.",9780060203856,1
113,The Berenstain Bears and the prize pumpkin /,"Berenstain, Stan,",9780679808473,1
114,"Berlitz, Jr. French.",,9780689713125,1
115,The best cake /,"Randell, Beverley.",9780435067236,1
116,The best cake /,"Randell, Beverley.",9780435067236,1
117,Best friends :,"Kellogg, Steven.",9780803701014,1
118,Best friends together again /,Aliki.,9780688137533,1
119,The best of Rilke :,"Rilke, Rainer Maria,",9780874514605,1
121,The bicycle.,"Cowley, Joy",9780560087581,1
122,Bicycle book /,"Gibbons, Gail",9780823411993,1
123,The big blowdown /,"Pelecanos, George P.",9780312142841,1
124,The big bug search /,"Young, Caroline.",9780881108941,1
125,The big bunny and the Easter eggs /,"Kroll, Steven.",9780823404360,1
126,The big kick /,"Randell, Beverley.",9780435049102,1
127,The big kick /,"Randell, Beverley.",9780435049102,1
128,The biggest truck /,"Lyon, David.",9780688055134,1
129,Birches /,"Frost, Robert,",9780805005707,1
130,Birds of America :,"Moore, Lorrie.",9780679445975,1
131,Birds on the move :,"Clark, Neal,",9780945980049,1
132,A birthday cake for Ben /,"Randell, Beverley,",9780763515058,1
133,A birthday cake for Ben /,"Randell, Beverley,",9780763515058,1
134,Biting the moon /,"Grimes, Martha.",9780805056211,1
135,Black and blue :,"Rankin, Ian.",9780312167837,1
137,Black frontiers :,"Schlissel, Lillian.",9780689802850,1
138,Black light /,"Hunter, Stephen,",9780385480420,1
139,The black tower /,"James, P. D.",9780816149834,1
140,Blackberries /,"Randell, Beverley.",9780435049188,1
141,Blind descent /,"Barr, Nevada.",9780399143717,1
143,Bloodsucking fiends :,"Moore, Christopher,",9780684810973,1
144,A blue butterfly :,"Le Tord, Bijou.",9780385311021,1
145,Blue corn murders :,"Pickard, Nancy.",9780385312240,1
146,A blue for Beware /,"Haas, Jessie.",9780688136789,1
147,Blue moon /,"Rice, Luanne.",9780670843015,1
148,The body farm :,"Cornwell, Patricia Daniels.",9780684195971,1
149,The body in the bog /,"Page, Katherine Hall.",9780688145736,1
150,The body in the bookcase /,"Page, Katherine Hall.",9780688157470,1
151,The boggart /,"Cooper, Susan,",9780689505768,1
152,Bogs of the Northeast /,"Johnson, Charles W.,",9780874513257,1
153,Bomber's law :,"Higgins, George V.,",9780805023299,1
155,Bones and silence /,"Hill, Reginald.",9780385301305,1
156,Bonsai :,"Chan, Peter.",9780890099469,1
157,The book of dragons /,"Nesbit, E.",9780440406969,1
158,The book of Ruth /,"Hamilton, Jane,",9780786210510,1
159,The bounty /,"Walcott, Derek.",9780374115562,1
160,The boys' war :,"Murphy, Jim,",9780899198934,1
161,Boyhood :,"Coetzee, J. M.,",9780670872206,1
162,Brain longevity :,"Khalsa, Dharma Singh.",9780446520676,1
163,Brave father mouse /,"Randell, Beverley.",9780435049201,1
164,Brave Horace /,"Keller, Holly.",9780688154073,1
165,Brave triceratops /,"Rendell, Beverley.",9780435067496,1
166,Brazil /,"Updike, John.",9780679430711,1
167,The bridge /,"Neville, Emily Cheney.",9780060243852,1
168,Brunswick Gardens /,"Perry, Anne.",9780449908457,1
169,The buccaneers :,"Wharton, Edith,",9780670852192,1
170,Bucking the sun :,"Doig, Ivan.",9780684811710,1
171,The bumper cars /,"Randell, Beverley,",9780763515089,1
172,The bumper cars /,"Randell, Beverley,",9780763515089,1
173,The burglar in the library :,"Block, Lawrence.",9780525943013,1
175,The burglar who studied Spinoza :,"Block, Lawrence.",9780525941804,1
176,Burning angel /,"Burke, James Lee,",9780783814926,1
177,The burning man /,"Margolin, Phillip.",9780385480536,1
178,Busy beavers /,"Brownell, M. Barbara",9780870447402,1
179,By the light of the Halloween moon /,"Stutson, Caroline.",9780688120450,1
180,By the shores of Silver Lake /,"Wilder, Laura Ingalls,",9780060264178,1
181,Cadillac Jack :,"McMurtry, Larry.",9780671637200,1
183,Cakes and ale /,"Maugham, W. Somerset",9780405078071,1
184,The Caldecott Aesop /,Aesop.,9780385126533,1
185,The call of the canyon /,"Grey, Zane,",9780896213869,1
186,The call of the wild /,"London, Jack,",9780141321059,1
187,Calligraphic flourishing :,"Hildebrandt, Bill,",9781567920284,1
188,Cam Jansen and the catnapping mystery /,"Adler, David A.",9780670880447,1
191,Cardington Crescent /,"Perry, Anne.",9780312001131,1
192,Care of the soul :,"Moore, Thomas,",9780060165970,1
193,Careless love :,"Guralnick, Peter.",9780316332224,1
194,A Caribbean mystery /,"Christie, Agatha,",9780396091561,1
195,Carl Gustav Jung /,"McLynn, Frank.",9780312154912,1
196,Carrier :,"Clancy, Tom,",9780425166826,1
197,Cat mummies /,"Trumble, Kelly.",9780395687079,1
198,Cat up a tree /,"Hassett, John.",9780395884157,1
199,The cat who saw stars /,"Braun, Lilian Jackson.",9780399144318,1
200,The cat who went to Paris /,"Gethers, Peter.",9780517586877,1
201,Catnap :,"Douglas, Carole Nelson.",9780312852177,1
202,Cats /,"Alderton, David,",9781564580702,1
203,Cats /,"Gibbons, Gail.",9780823412532,1
204,Catwings return /,"Le Guin, Ursula K.,",9780531058039,1
205,Caves /,"Kramer, Stephen P.",9780876144473,1
206,Celebrating earth day :,"Gardner, Robert,",9781562940706,1
207,Celebration at Thrush Green /,"Read,",9780395650301,1
208,Celebrations of light :,"Luenn, Nancy.",9780689319860,1
209,A certain justice /,"James, P. D.",9780375401091,1
210,Cetaganda /,"Bujold, Lois McMaster.",9780671877019,1
211,Chance /,"Parker, Robert B.,",9780399141348,1
212,Chance /,"Parker, Robert B.,",9780399141348,1
213,A chef /,"Florian, Douglas.",9780688111083,1
214,Chemistry /,"Newmark, Ann.",9781564582317,1
215,Chicago and the cat :,"Koontz, Robin Michal.",9780525651383,1
216,The Chicken sisters /,"Numeroff, Laura Joffe.",9780060266790,1
217,Chicken soup with rice :,"Sendak, Maurice.",9781442016774,1
218,Chickenhawk: back in the world :,"Mason, Robert,",9780670848355,1
219,The children of men /,"James, P. D.",9780679418733,1
220,China /,"Heinrichs, Ann.",9780516203294,1
221,Chocolat :,"Harris, Joanne,",9780670881796,1
222,The chocolate cake /,"Melser, June.",9781559111300,1
223,Choosing a puppy /,"Giles, Jenny.",9780763515140,1
224,The Christmas ark /,"San Souci, Robert D.",9780385248365,1
225,A Christmas carol and other stories /,"Dickens, Charles,",9780895773159,1
226,A Christmas carol and other stories /,"Dickens, Charles,",9780895773159,1
227,Christmas in July /,"Yorinks, Arthur.",9780060202569,1
228,Christmas in Mexico /,"Enderlein, Cheryl L.",9781560656227,1
229,The Family read-aloud Christmas treasury /,,9780316533713,1
230,Citizen soldiers :,"Ambrose, Stephen E.,",9780684815251,1
231,"""Civil war!"" :","Robertson, James I.",9780394829968,1
232,The classic 1000 vegetarian recipes /,"Humphries, Carolyn.",9780572023751,1
233,Classic poems to read aloud /,,9781856979870,1
