title,author,isbn,annual circs
title,author,isbn,count
From path to highway :,"Gibbons, Gail.",069004514X (lib. bdg.) : | 0690045131 :,1
The ruby in the smoke /,"Pullman, Philip,",039488826X | 0394988264 (pbk.),1
Meet Molly :,"Tripp, Valerie,",093729506X : | 0937295078 (pbk.) :,1
Celestial navigation /,"Tyler, Anne.",039449038X,1
A pocket for Corduroy /,"Freeman, Don,",067056172X,1
A chair for my mother /,"Williams, Vera B.",068800914X | 0688009158 (lib. bdg.) : | 0-8085-3385-1 (Econoclad-Leb copy),1
"Love, Eleanor :","Lash, Joseph P.,",038517053X,1
A field guide to the stars and planets /,"Menzel, Donald Howard,",039534641X | 0395348358 (pbk.),1
Voices in summer /,"Pilcher, Rosamunde.",031285076X,1
Him with his foot in his mouth and other stories /,"Bellow, Saul.",006015179X :,1
The baked bean supper murders /,"Rich, Virginia.",052524185X :,1
A weekend with Wendell /,"Henkes, Kevin.",068806325X,1
A weekend with Wendell /,"Henkes, Kevin.",068806325X,1
Tillie and Mert /,"Luttrell, Ida.",006024027X | 0060240288 (lib. bdg.) :,1
Napoleon /,"Weidhorn, Manfred,",068931163X :,1
Napoleon /,"Weidhorn, Manfred,",068931163X :,1
Paper money /,"Follett, Ken.",068805840X,1
The year of the perfect Christmas tree :,"Houston, Gloria.",080370299X | 0803703007 (lib. bdg.),1
Silence in Hanover Close /,"Perry, Anne.",031201824X :,1
Spirit lost /,"Thayer, Nancy,",068418950X,1
The art lesson /,"DePaola, Tomie,",039921688X,1
The mitten :,"Brett, Jan,",039921920X,1
Animal dreams :,"Kingsolver, Barbara.",006016350X,1
Winter festivals /,"Rosen, Mike.",053118353X (lib. bdg.),1
Easter surprise /,"Stock, Catherine.",002788371X,1
Wings /,"Yolen, Jane.",015297850X :,1
Stardust /,"Parker, Robert B.,",imited ed. : alk. paper) | 039,1
Thanksgiving at our house /,"Watson, Wendy.",039553626X,1
The painter's eye :,"Greenberg, Jan,",038530319X,1
White people /,"Gurganus, Allan,",039458841X :,1
Projection :,"Ablow, Keith R.",067944212X,1
Sudden mischief /,"Parker, Robert B.,",039914370X,1
Battle born /,"Brown, Dale,",055311123X,1
Monster :,"Kellerman, Jonathan.",067945960X,1
It's mine! /,"Lionni, Leo,",039487000X | 0394970004 (lib. bdg.),1
Cover story /,"Boyle, Gerry,",042516893X,1
Blackout /,"Nance, John J.",039914594X,1
Auntie Claus /,"Primavera, Elise.",015201909X,1
Horse heaven /,"Smiley, Jane.",037540600X,1
"The complete book of wills, estates and trusts /","Bove, Alexander A.,",080506298X (pbk. : alk. paper),1
The black opal /,"Holt, Victoria,",038547024X :,1
Bridesmaids revisited /,"Cannell, Dorothy.",067089205X (alk. paper),1
Heirs and parents /,"McInerny, Ralph M.",031220311X,1
Atlantis :,"Balit, Christina.",080506334X,1
"Nora, Nora :","Siddons, Anne Rivers.",006017613X,1
Blue gold :,"Cussler, Clive.",067178546X,1
"Men are from Mars, women are from Venus :","Gray, John,",006016848X (cloth) :,1
The perfect storm :,"Junger, Sebastian.",039304016X,1
Hamsters :,"Amoroso, Cynthia.",156766802X (lib. reinforced),1
More all-of-a-kind family /,"Taylor, Sydney,",092909302X :,1
A tree grows in Brooklyn /,"Smith, Betty,",006092988X,1
The Queen of Attolia /,"Turner, Megan Whalen.",068817423X,1
"The clue of the hissing serpent,","Dixon, Franklin W.",044808953X :,1
The story of life on earth /,"Munro, Margaret,",088899401X :,1
The Hindenburg /,"O'Brien, Patrick,",080506415X (hc : alk. paper),1
A student of weather /,"Hay, Elizabeth,",158243123X (alk. paper),1
Captain Bob sets sail /,"Schotter, Roni.",068982081X,1
Wildlife in danger /,"Morgan, Sally,",053114559X,1
The last time I saw Paris /,"Adler, Elizabeth",031226982X,1
Bad news /,"Westlake, Donald E.",089296717X,1
The archaeology detectives /,,076210306X,1
In pursuit of the proper sinner /,"George, Elizabeth.",037572799X (pbk. : lg. print) | 0375408460,1
Little panda :,"Ryder, Joanne.",068986616X | 0689843100 (hc),1
The blue last :,"Grimes, Martha.",067003004X (alk. paper),1
"A fine, fine school /","Creech, Sharon.",006027736X | 0060277378 (lib. bdg.),1
Fury :,"Rushdie, Salman.",067946333X (acidfree paper),1
Kit saves the day :,"Tripp, Valerie,",158485023X,1
Behold-- the unicorns! /,"Gibbons, Gail.",068817955X | 0688179584 (lib. bdg.),1
The arthritis helpbook :,"Lorig, Kate.",073820224X,1
Getting divorced without ruining your life :,"Margulies, Sam.",074320641X (pbk.),1
Savannah blues /,"Andrews, Mary Kay,",006019958X,1
Summer in Tuscany :,"Adler, Elizabeth",031226996X,1
Daisy comes home /,"Brett, Jan,",039923618X :,1
Fleeced :,"Clark, Carol Higgins.",074321661X :,1
Against all enemies /,"Coyle, Harold,",076530239X :,1
Choices :,"Beattie, Melody.",006008829X :,1
Girl from the South /,"Trollope, Joanna.",067003097X :,1
Penguin chick /,"Tatham, Betty.",006028594X :,1
Twisted roots /,"Andrews, V. C.",074342865X,1
All you need for a snowman /,"Schertle, Alice.",015200789X :,1
Porkenstein /,"Lasky, Kathryn.",059062380X :,1
A week in the woods /,"Clements, Andrew,",068982596X :,1
Feng Shui : ,"Fretwell, Sally.",157731221x (pbk.),1
Snow bears /,"Waddell, Martin.",076361906X (lib. bdg.) :,1
Princess in waiting /,"Cabot, Meg.",006009608X (lib. bdg.) :,1
Things my girlfriend and I have argued about :,"Millington, Mil.",081296666X (pbk.) :,1
Wintering :,"Moses, Kate.",031228375X :,1
G is for granite :,"Harris, Marie.",158536083X :,1
G is for granite :,"Harris, Marie.",158536083X :,1
City chicken /,"Dorros, Arthur.",006028482X :,1
Abandon :,"Iyer, Pico.",037541505X :,1
If I get to five :,"Epstein, Fred,",080507144X :,1
The Devil wears Prada /,"Weisberger, Lauren,",038550926X :,1
Little One Step /,"James, Simon,",076362070X (lib. bdg.) :,1
Easter Island :,"Vanderbes, Jennifer.",038533673X :,1
The Kalahari typing school for men /,"McCall Smith, Alexander,",037542217X :,1
The teeth of the tiger /,"Clancy, Tom,",039915079X,1
American empire--the victorious opposition /,"Turtledove, Harry.",034544423X,1
Buffy /,"Lawrence, Lucy.",073271835X (pbk.),1
The dream of Scipio /,"Pears, Iain.",157322202X,1
Sense of evil /,"Hooper, Kay.",055380300X :,1
She's not there :,"Boylan, Jennifer Finney,",076791404X :,1
A summer in the country /,"Willett, Marcia.",031228781X :,1
Moo Cow Kaboom! /,"Hurd, Thacher.",006050501X :,1
"Good night, Sam /","Gay, Marie-Louise.",088899530X :,1
"Sneakers, the seaside cat /","Brown, Margaret Wise,",006028692X :,1
The day the babies crawled away /,"Rathmann, Peggy.",039923196X (lib. bdg.) :,1
Diary of a worm /,"Cronin, Doreen,",006000150X :,1
Rescue your financial life :,"Lankford, Kimberly.",007141942X (pbk.) :,1
The dolls' house /,"Godden, Rumer,",014030942X (pbk.) :,1
Red /,"Schuette, Sarah L.,",073681471X,1
Three bowls :,"Farrey, Seppo Ed.",039597707X,1
Lost city /,"Cussler, Clive",039915177X,1
Coal Run :,"O'Dell, Tawni.",067089995X :,1
Escaping the giant wave /,"Kehret, Peg.",068985272X :,1
Escaping the giant wave /,"Kehret, Peg.",068985272X :,1
Make a wish! /,"Jones, Miranda,",038573137X :,1
Brimstone /,"Preston, Douglas J.",044653143X :,1
Light on snow,"Shreve, Anita.",031600071X,1
A coyote's in the house /,"Leonard, Elmore,",006054404X :,1
Gilgamesh /,,074326164X :,1
Busy a b c /,"Hawkins, Colin.",067081153X,1
A Small Christmas /,"Yee, Wong Herbert.",061832612X :,1
Reading Lolita in Tehran :,"Nafisi, Azar.",158724487X :,1
I fall down /,"Cobb, Vicki.",068817843X (lib. bdg.) :,1
The bachelorette party :,"Lutz, Karen McCullah.",031232619X :,1
Seven types of ambiguity /,"Perlman, Elliot.",157322281X :,1
From the mixed-up files of Mrs. Basil E. Frankweiler /,"Konigsburg, E. L.",078627297X (lg. print),1
Class clown :,"Flanagan, Alice K.",159296155X (Library Bound : al,1
Rage /,"Kellerman, Jonathan.",034546706X (alk. paper),1
First warning : ,"McCaffrey, Anne",006052538X,1
Dangerous ground /,"Bond, Larry.",076530788X :,1
Supermarket super products! :,"Baker, Jerry.",092243350X :,1
DK illustrated dictionary of mythology :,"Wilkinson, Philip,",078943413X :,1
Mr. Maxwell's mouse /,"Asch, Frank.",155337486X :,1
The divine circle of ladies making mishchief /,"Riccio, Dolores, ",075820986X (pbk.) :,1
Freakonomics :,"Levitt, Steven D.",006073132X :,1
The angel experiment /,"Patterson, James,",031615556X :,1
Death and the walking stick :,"Berry, Linda,",158724926X (softcover : alk. paper),1
Frog and Toad together /,"Lobel, Arnold.",069401298X,1
Three feet small /,"Rosen, Michael J.,",015204938X,1
Origin in death /,"Robb, J. D.,",039915289X :,1
The lighthouse /,"James, P. D.",030726291X :,1
The year of magical thinking /,"Didion, Joan.",140004314X :,1
The trouble with poetry and other poems /,"Collins, Billy.",037550382X :,1
The universe in a single atom :,"Bstan-ʼdzin-rgya-mtsho,",076792066X :,1
The gruesome guide to world monsters /,"Sierra, Judy.",076361727X :,1
Delete all suspects /,"Andrews, Donna.",042520569X :,1
My first Kwanzaa /,"Katz, Karen.",080507077X (lib. bdg.) :,1
Rolling along :,"Heelan, Jamee Riggio.",156145219X :,1
Dark Harbor /,"Woods, Stuart",039915342X,1
World Book's animals of the world.,, 0716612496 (set); 0716612569 ,1
We are all welcome here :,"Berg, Elizabeth.",140006161X (acidfree paper) :,1
Larry Bond's First team :,"Bond, Larry.",076530712X :,1
How to talk so people listen :,"Hamlin, Sonya.",006073406X :,1
Shiver /,"Jackson, Lisa.",075821393X :,1
Olivia forms a band /,"Falconer, Ian,",141692454X (lib. bdg.) :,1
Everyman /,"Roth, Philip.",061873516X :,1
The king of lies /,"Hart, John.",031234161X :,1
In the dark of the night :,"Saul, John.",034548701X (acidfree paper) :,1
The collectors /,"Baldacci, David",044653109X :,1
Crime beat :,"Connelly, Michael.",031615377X :,1
White lies /,"Krentz, Jayne Ann",039915373X,1
The cat in numberland /,"Ekeland, I.",081262744X :,1
The life and times of the thunderbolt kid :,"Bryson, Bill.",076791936X :,1
Queen of swords /,"Donati, Sara,",055380149X :,1
When Santa fell to Earth /,"Funke, Cornelia Caroline.",043978204X :,1
Butterfly eyes :,"Sidman, Joyce",061856313X (lib. bdg.) :,1
The emperor's children /,"Messud, Claire,",030726419X :,1
NightWatch :,"Dickinson, Terence.",155209300X (spiralbound) : | 1,1
You don't love me yet /,"Lethem, Jonathan.",038551218X :,1
The king of Attolia /,"Turner, Megan Whalen.",006083577X :,1
A treasury of regrets /,"Alleyn, Susanne.",031234371X :,1
Bounce /,"Cronin, Doreen,",141691627X (lib. bdg.) :,1
A midsummer night's dream /,"Shakespeare, William,",087923430X :,1
On your toes :,"Isadora, Rachel.",006050238X : | 006050241X (lib,1
Ish /,"Reynolds, Peter,",076362344X,1
The blind side :,"Lewis, Michael",039306123X (hardcover) | 97803,1
Detective Inspector Huss /,"Tursten, Helene,",156947303X (alk. paper),1
Making the most of storage /,"Robertson, Debora.",084781937X,1
Magill's survey of American literature /,,185435437X (set) : | 185435438,1
Three plays :,"Coward, Noel,",067978179X,1
A necessary end :,"Robinson, Peter,",068419385X :,1
An Illustrated encyclopedia of mythology /,,051744769X,1
92 stories /,"Thurber, James,",051745999X,2
Anansi goes fishing /,"Kimmel, Eric A.",082340918X,2
Anne Frank /,"McDonough, Yona Zeldis.",080504924X (alk. paper),2
Arthur's birthday party /,"Hoban, Lillian.",006027798X | 0060277998 (lib. bdg.),2
Big pumpkin /,"Silverman, Erica.",002782683X :,2
Bloodstream /,"Gerritsen, Tess.",067101675X :,2
The bridges of Madison County /,"Waller, Robert James,",044651652X :,2
Cendrillon :,"San Souci, Robert D.",068980668X,2
Come the spring /,"Garwood, Julie.",067100333X :,2
Death in summer /,"Trevor, William,",067088202X (alk. paper),2
Field of thirteen /,"Francis, Dick.",039914434X,2
Firehorse Max /,"London, Sara.",006205094X :,2
A house for Mr. Biswas /,"Naipaul, V. S.",039453400X :,2
I see /,"Oxenbury, Helen.",039487479X :,2
Kissed a sad goodbye /,"Crombie, Deborah.",055310943X,2
Let's go camping with Mr. Sillypants /,"Brown, M. K.",051759773X (trade) : | 0517597748 (lib. bdg.),2
Letters of E.B. White /,"White, E. B.",006014601X :,2
The life and times of the honeybee /,"Micucci, Charles.",039565968X :,2
Masterpieces of murder /,"Christie, Agatha,",039607412X,2
Mr. Gumpy's motor car /,"Burningham, John.",069000799X (lib. bdg.) : | 0690007981,2
Mud /,"Ray, Mary Lyn.",015256263X,2
Murder for Christmas /,"Christie, Agatha,",039609161X,2
"No, no /","Cowley, Joy.",155911164X (pbk) : | 1559111615 (set),2
Of love and other demons /,"García Márquez, Gabriel,",067943853X,2
Plum Island /,"DeMille, Nelson",044651506X,2
Roadside geology of Vermont and New Hampshire /,"VanDiver, Bradford B.",087842203X (pbk.),2
The school bus comes at eight o'clock /,"McKee, David.",156282662X : | 1562826638 (lib. bdg.),2
The squirrel's Thanksgiving /,"Kroll, Steven.",082340823X,2
Starting drawing /,"Claybourne, Anna.",088110891X,2
The stinky cheese man and other fairly stupid tales /,"Scieszka, Jon.",067084487X,2
"A sudden, fearful death /","Perry, Anne.",044990637X,2
The things they carried :,"O'Brien, Tim,",014014773X (pbk.) :,2
Time train /,"Fleischman, Paul.",006021709X | 0060217103 (lib. bdg.),2
Tutankhamun /,"Green, Robert,",053120233X,2
The ugly duckling /,"Pinkney, Jerry.",068815932X (tr) | 0688159338 (le),2
Under a wing :,"Lindbergh, Reeve.",068480770X,2
The view from Saturday /,"Konigsburg, E. L.",068980993X,2
"When you look like your passport photo, it's time to go home /","Bombeck, Erma.",006018311X :,2
The wings of the morning /,"Tryon, Thomas.",039452389X :,2
Wolf /,"Greeley, Maureen.",156799296X (hc),2
Count your way through Japan /,"Haskins, James,",087614301X,2
City :,"Macaulay, David.",039519492X,2
Alive :,"Read, Piers Paul.",039701001X,2
A pocket for Corduroy /,"Freeman, Don,",067056172X,2
The Hotel New Hampshire /,"Irving, John,",052512800X,2
Let's make rabbits :,"Lionni, Leo,",039485196X | 0394951964 (lib. bdg.),2
The Cherokee trail /,"L'Amour, Louis,",055305029X :,2
Son of a wanted man /,"L'Amour, Louis,",089621561X (lg. print),2
Foreign affairs /,"Lurie, Alison.",039454076X :,2
A taste for death /,"James, P. D.",039455583X,2
Mousekin's Easter basket /,"Miller, Edna,",067166803X,2
Mousekin's Easter basket /,"Miller, Edna,",067166803X,2
Valentine foxes /,"Watson, Clyde.",053105800X | 0531084000 (lib. bdg.),2
The art lesson /,"DePaola, Tomie,",039921688X,2
Fifty hikes in the White Mountains :,"Doan, Daniel,",088150162X :,2
"Mama, do you love me? /","Joosse, Barbara M.",087701759X,2
"Mama, do you love me? /","Joosse, Barbara M.",087701759X,2
Easter surprise /,"Stock, Catherine.",002788371X,2
"""H"" is for homicide /","Grafton, Sue.",080501084X :,2
Thanksgiving at our house /,"Watson, Wendy.",039553626X,2
Triceratops /,"Landau, Elaine.",051620453X (lib. bdg.) | 0516265067 (pbk.),2
The girls' guide to hunting and fishing /,"Bank, Melissa.",067088300X (alk. paper),2
The loudness of Sam /,"Proimos, James.",015202087x,2
The zoo in the sky :,"Mitton, Jacqueline.",079227069X,2
"Bunny, my Honey /","Jeram, Anita.",076360710X (alk. paper),2
The woodland garden :,"Forster, R. Roy.",155209359X (pbk.),2
Draw 50 animal 'toons /,"Ames, Lee J.",076790544X,2
"First day, hooray! /","Poydar, Nancy.",082341437X,2
When I was young in the mountains /,"Rylant, Cynthia.",052542525X (lib. bdg.) :,2
Clifford visits the hospital /,"Bridwell, Norman.",043914096X (pbk.),2
The summer solstice /,"Jackson, Ellen B.,",076131623X (lib. bdg.),2
Fraud :,"Rakoff, David.",038550084X,2
K Falls /,"Moody, Skye Kathleen.",031226609X,2
Mrs. Piggle-Wiggles's magic /,"MacDonald, Betty Bard.",039731714X :,2
Fin M'Coul :,"DePaola, Tomie,",082340384X | 0823403858 (pbk.),2
"A fine, fine school /","Creech, Sharon.",006027736X | 0060277378 (lib. bdg.),2
The many faces of faith :,"Losch, Richard R.",080283910X (alk. paper),2
The joy of simple living :,"Davidson, Jeffrey P.",087596527X,2
This first Thanksgiving Day :,"Melmed, Laura Krauss.",068814554X | 0688145558 (lib. bdg.),2
Gone for good /,"Coben, Harlan,",038533558X :,2
Three fates /,"Roberts, Nora.",039914840X (acidfree paper),2
Fire lover :,"Wambaugh, Joseph.",006009527X :,2
Dead midnight /,"Muller, Marcia.",089296765X :,2
The road to Eden's Ridge /,"Rose, M. L.",155853993X :,2
Distant shores /,"Hannah, Kristin.",034545071X (alk. paper),2
Easy as apple pie :,"Ruelle, Karen Gray.",082341759X :,2
Skeleton hiccups /,"Cuyler, Margery.",068984770X :,2
"Hey kid, want to buy a bridge? /","Scieszka, Jon.",067089916X :,2
Mr. Putter & Tabby catch the cold /,"Rylant, Cynthia.",015202414X (hardcover),2
The killing game /,"Johansen, Iris.",078388852X (lg. print : sc : alk. paper),2
"Moo, baa, la la la! /","Boynton, Sandra.",067144901X,2
Little Toot /,"Gramatky, Hardie,",039922419X :,2
Couldn't keep it to myself :,,006053429X :,2
Henry and Mudge and the tall tree house :,"Rylant, Cynthia.",068981173X,2
"Mary, Queen of Scots, and the murder of Lord Darnley /","Weir, Alison.",034543658X :,2
Engaged to die :,"Hart, Carolyn G.",006000469X :,2
Starting with Alice /,"Naylor, Phyllis Reynolds.",068984395X (lib. bdg.) :,2
The secret hour /,"Rice, Luanne.",073943196X,2
The power of one /,"Courtenay, Bryce,",034541005X (pbk.) :,2
Shut out :,"Bryant, Howard,",041592779X,2
The animal kingdom :,"Whyman, Kathryn.",081725885X,2
Killing raven /,"Coel, Margaret,",042519261X :,2
