title,author,isbn,count
"The job :","Evanovich, Janet,","9780345543127 (hardcover) | 0345543122 (hardcover)",1
"Hot six /","Evanovich, Janet.",0312205406,1
"Death becomes her",,"0783225482 : | 9780783225487",1
"The Holocaust :","Gilbert, Martin,","9780805003482 (pbk.) : | 08050",1
"The line of beauty /","Hollinghurst, Alan.","1582345082 :",1
"Trail of the Spellmans :","Lutz, Lisa.","9781451608120 : | 1451608128 :",1
"School days","Parker, Robert B.,","0739318624 :",1
"Soul of discretion :","Hill, Susan,","9781468301458 : HRD | 1468301454 : HRD",1
"Up close and dangerous :","Howard, Linda,","9780345486523 : | 0345486528 :",1
"Paradise city /","Day, Elizabeth,","9781620408360 | 1620408368",1
"Frommer's Day by Day Guide to London","Fullman, Joseph","9781628870268 : PAP | 16288702",1
"Rick Steves Ireland 2016 /","Steves, Rick,","9781631211935 : PAP | 1631211935 : PAP",1
"Ronald Reagan /","Weisberg, Jacob.","9780805097276 : HRD | 0805097279 : HRD",1
"The weekend woodworker's project collection :",,"9781440308888 (pbk.) : | 14403",1
"The Woodworker's handbook :",,"0831794755 | 9780831794750",1
"Napoleon /","Weidhorn, Manfred,","068931163X :",1
"The one and only Ivan /","Applegate, Katherine.","9780061992254 : | 0061992259 :",1
"The Marvels /","Selznick, Brian","9780545448680 : HRD | 0545448689 : HRD",1
"John Henry /","Lester, Julius.","0803716060 (trade) | 0803716079 (lib. bdg.)",1
"Victims :","Kellerman, Jonathan.","0345505719 | 9780345505712 (ha",1
"The skin collector :","Deaver, Jeffery.","9781455517138 (hbk.) : | 14555",1
"Amagansett /","Mills, Mark,","0399151842 :",1
"Sick in the head :","Apatow, Judd,","9780812997576 : HRD | 0812997573 : HRD",1
"Walrus :","Person, Stephen","9781617721335 (lib. bdg.) : | ",1
"Penguins swim but don't get wet :","Berger, Melvin.","0439625351 (pbk.) :",1
"Penguin chick /","Tatham, Betty.","006028594X :",1
Empire.,"Howard, Terrence","9786316594228 : DVD | 6316594224 : DVD",1
"Here is the Arctic winter /","Dunphy, Madeleine.","1562823361 | 9781562823368 | 156282337X (lib. ed.) | 9781562823375 (lib. ed.)",1
"The outside story :",,"0978659902 | 9780978659905",1
"The importance of being little :","Christakis, Erika.","9780525429074 : HRD | 0525429077 : HRD",1
"An annoying ABC /","Bottner, Barbara.","9780375867088 : | 0375867082 :",1
"Jim Henson's The Christmas toy",,,1
"Irena Sendler and the children of the Warsaw Ghetto /","Rubin, Susan Goldman.","9780823422517 (lib. bdg.) : | ",1
"Stalin's daughter :","Sullivan, Rosemary,","9780062206107 : HRD | 0062206109 : HRD",1
"Taken /","Crais, Robert.","9780399158278 : | 0399158278 :",1
"Pearl and Wagner :","McMullan, Kate","9780803730854 (lib. bdg.) : | 0803730853 (lib. bdg.) :",1
"The beach house","Patterson, James,",,1
"From time to time :","Finney, Jack.","0671898841 :",1
"Star Wars :","Saunders, Catherine","9781465433916 | 1465433910 | 9781465433923 | 1465433929 | 9781480665262 | 1480665266",1
